Title,Category,Rating,Link
Ise Restaurant,Sushi Bars,4.5 star rating,https://www.yelp.com/biz/ise-restaurant-new-york-3
Hibino,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/hibino-brooklyn
U-gu,Japanese,4.5 star rating,https://www.yelp.com/biz/u-gu-brooklyn-2
Sashimi Express,Japanese,4.5 star rating,https://www.yelp.com/biz/sashimi-express-new-york
Hibino,Japanese,4.0 star rating,https://www.yelp.com/biz/hibino-long-island-city
Sushi Seki,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/sushi-seki-new-york-5
Ise Restaurant,Sushi Bars,4.5 star rating,https://www.yelp.com/biz/ise-restaurant-new-york-3
Sushi Seki,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/sushi-seki-new-york-5
Hibino,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/hibino-brooklyn
Aji Sushi House,Asian Fusion,4.5 star rating,https://www.yelp.com/biz/aji-sushi-house-astoria
Blue Ribbon Sushi Bar & Grill - New York,Cocktail Bars,4.0 star rating,https://www.yelp.com/biz/blue-ribbon-sushi-bar-and-grill-new-york-new-york
Hama Japanese Cuisine,Japanese,4.0 star rating,https://www.yelp.com/biz/hama-japanese-cuisine-new-york
Sushi Para 88,Japanese,3.5 star rating,https://www.yelp.com/biz/sushi-para-88-new-york
Union Sushi,Japanese,4.5 star rating,https://www.yelp.com/biz/union-sushi-flushing
Natsumi,Lounges,4.0 star rating,https://www.yelp.com/biz/natsumi-new-york-3
Tanoshi Sushi Sake Bar,Seafood,4.5 star rating,https://www.yelp.com/biz/tanoshi-sushi-sake-bar-new-york
Ako,Wine Bars,4.0 star rating,https://www.yelp.com/biz/ako-brooklyn-3
Nare Sushi,Japanese,4.0 star rating,https://www.yelp.com/biz/nare-sushi-new-york
Iron Chef House,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/iron-chef-house-brooklyn
Wasabi Sushi & Bento,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/wasabi-sushi-and-bento-new-york-4
Yoi sushi,Japanese,4.5 star rating,https://www.yelp.com/biz/yoi-sushi-flushing-3
Momoya,Salad,4.0 star rating,https://www.yelp.com/biz/momoya-new-york
Morimoto,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/morimoto-new-york
New Mizu Sushi,Japanese,4.5 star rating,https://www.yelp.com/biz/new-mizu-sushi-new-york
Sushi Lin,Salad,5.0 star rating,https://www.yelp.com/biz/sushi-lin-brooklyn-2
1 or 8,Bars,4.0 star rating,https://www.yelp.com/biz/1-or-8-brooklyn
Beyond Sushi - Union Square,Kosher,4.5 star rating,https://www.yelp.com/biz/beyond-sushi-union-square-new-york-5
Geido,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/geido-brooklyn
SUGARFISH by sushi nozawa,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/sugarfish-by-sushi-nozawa-new-york
Blue Ribbon Sushi Izakaya,Cocktail Bars,4.0 star rating,https://www.yelp.com/biz/blue-ribbon-sushi-izakaya-new-york
Zawa Japanese,Sushi Bars,4.5 star rating,https://www.yelp.com/biz/zawa-japanese-new-york
Gen,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/gen-brooklyn
Sushi Kaito,Japanese,4.5 star rating,https://www.yelp.com/biz/sushi-kaito-new-york
Beyond Sushi,Kosher,4.5 star rating,https://www.yelp.com/biz/beyond-sushi-new-york-4
Yamato Restaurant,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/yamato-restaurant-brooklyn
TJ Asian Bistro,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/tj-asian-bistro-woodside
Geido,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/geido-brooklyn
Beyond Sushi,Kosher,4.5 star rating,https://www.yelp.com/biz/beyond-sushi-new-york-4
New Ichiro,Salad,4.0 star rating,https://www.yelp.com/biz/new-ichiro-new-york-2
Gen,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/gen-brooklyn
Blue Ribbon Sushi Izakaya,Cocktail Bars,4.0 star rating,https://www.yelp.com/biz/blue-ribbon-sushi-izakaya-new-york
Yamato Restaurant,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/yamato-restaurant-brooklyn
Pink Nori,Bars,4.0 star rating,https://www.yelp.com/biz/pink-nori-astoria
Yama 49,Japanese,4.0 star rating,https://www.yelp.com/biz/yama-49-new-york
Sushi Daizen,Sushi Bars,4.5 star rating,https://www.yelp.com/biz/sushi-daizen-long-island-city
Sushi of Gari 46,Japanese,4.0 star rating,https://www.yelp.com/biz/sushi-of-gari-46-new-york
Seven Sushi Cafe,Japanese,4.0 star rating,https://www.yelp.com/biz/seven-sushi-cafe-brooklyn
Mi-ne Sushi,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/mi-ne-sushi-new-york-3
Miso Restaurant,Japanese,3.0 star rating,https://www.yelp.com/biz/miso-restaurant-brooklyn
Sushi on Jones,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/sushi-on-jones-new-york
Yuba,Asian Fusion,4.0 star rating,https://www.yelp.com/biz/yuba-new-york-2
Maguro,Sushi Bars,3.5 star rating,https://www.yelp.com/biz/maguro-new-york
TJ Asian Bistro,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/tj-asian-bistro-woodside
Kaede Japanese Restaurant,Japanese,3.5 star rating,https://www.yelp.com/biz/kaede-japanese-restaurant-new-york-2
Ageha Sushi,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/ageha-sushi-new-york
sandobe,Karaoke,4.5 star rating,https://www.yelp.com/biz/sandobe-brooklyn
Amura Japanese,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/amura-japanese-new-york
Maguro,Sushi Bars,3.5 star rating,https://www.yelp.com/biz/maguro-new-york
E Sushi,Asian Fusion,4.0 star rating,https://www.yelp.com/biz/e-sushi-brooklyn
Jun Shokudo,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/jun-shokudo-brooklyn
Inaka Asian Cuisine,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/inaka-asian-cuisine-brooklyn
Mi-ne Sushi,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/mi-ne-sushi-new-york-3
Mido,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/mido-new-york
Inaka Sushi,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/inaka-sushi-brooklyn
Seven Sushi Cafe,Japanese,4.0 star rating,https://www.yelp.com/biz/seven-sushi-cafe-brooklyn
Oishi Bay,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/oishi-bay-new-york-2
Poke,Japanese,4.0 star rating,https://www.yelp.com/biz/poke-new-york
JJs Fusion,Asian Fusion,4.0 star rating,https://www.yelp.com/biz/jjs-fusion-astoria
Samurai Mama,Soup,4.0 star rating,https://www.yelp.com/biz/samurai-mama-brooklyn
Kyoto Sushi,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/kyoto-sushi-brooklyn-14
MakiMaki,Sushi Bars,4.5 star rating,https://www.yelp.com/biz/makimaki-new-york
Ushiwakamaru,Salad,4.0 star rating,https://www.yelp.com/biz/ushiwakamaru-new-york-4
Shobu Sushi & Grill,Sushi Bars,4.5 star rating,https://www.yelp.com/biz/shobu-sushi-and-grill-brooklyn
Sushi Of Gari,Japanese,4.0 star rating,https://www.yelp.com/biz/sushi-of-gari-new-york
Kondo,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/kondo-astoria
Kaede Japanese Restaurant,Japanese,3.5 star rating,https://www.yelp.com/biz/kaede-japanese-restaurant-new-york-2
Jun Shokudo,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/jun-shokudo-brooklyn
Shobu Sushi & Grill,Sushi Bars,4.5 star rating,https://www.yelp.com/biz/shobu-sushi-and-grill-brooklyn
Oishi Bay,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/oishi-bay-new-york-2
Honshu,Japanese,4.0 star rating,https://www.yelp.com/biz/honshu-jersey-city-4
Kondo,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/kondo-astoria
MakiMaki,Sushi Bars,4.5 star rating,https://www.yelp.com/biz/makimaki-new-york
Sushi Of Gari,Japanese,4.0 star rating,https://www.yelp.com/biz/sushi-of-gari-new-york
Kyoto Sushi,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/kyoto-sushi-brooklyn-14
Simple Asia,Ramen,4.5 star rating,https://www.yelp.com/biz/simple-asia-staten-island
Samurai Mama,Soup,4.0 star rating,https://www.yelp.com/biz/samurai-mama-brooklyn
Sake Bar By Zabb,Japanese,4.0 star rating,https://www.yelp.com/biz/sake-bar-by-zabb-jackson-heights
Okinawa Sushi & Grill,Thai,4.0 star rating,https://www.yelp.com/biz/okinawa-sushi-and-grill-hoboken-2
Ushiwakamaru,Salad,4.0 star rating,https://www.yelp.com/biz/ushiwakamaru-new-york-4
Momoya,Japanese,4.0 star rating,https://www.yelp.com/biz/momoya-new-york-2
LUNA Asian Bistro & Lounge,Japanese,4.0 star rating,https://www.yelp.com/biz/luna-asian-bistro-and-lounge-astoria
Roys Fish Market,Sushi Bars,4.5 star rating,https://www.yelp.com/biz/roys-fish-market-new-york
Kakurega Sushi,Seafood,5.0 star rating,https://www.yelp.com/biz/kakurega-sushi-queens-5
Raku - Its Japanese II,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/raku-its-japanese-ii-new-york-2
Norikoh,Asian Fusion,4.0 star rating,https://www.yelp.com/biz/norikoh-new-york
Kaede Japanese Restaurant,Japanese,3.5 star rating,https://www.yelp.com/biz/kaede-japanese-restaurant-new-york-2
Asea Fusion Modern Asian Bistro,Japanese,4.0 star rating,https://www.yelp.com/biz/asea-fusion-modern-asian-bistro-brooklyn
Samurai Papa,Japanese,4.5 star rating,https://www.yelp.com/biz/samurai-papa-brooklyn-2
Kosaka,Sushi Bars,4.5 star rating,https://www.yelp.com/biz/kosaka-new-york-2
Koto Sushi,Japanese,4.0 star rating,https://www.yelp.com/biz/koto-sushi-brooklyn-4
sandobe,Karaoke,4.5 star rating,https://www.yelp.com/biz/sandobe-brooklyn
Haru Sushi,Sushi Bars,3.5 star rating,https://www.yelp.com/biz/haru-sushi-new-york-7
Sakagura,Japanese,4.0 star rating,https://www.yelp.com/biz/sakagura-new-york
Okinawa Sushi & Grill,Thai,4.0 star rating,https://www.yelp.com/biz/okinawa-sushi-and-grill-hoboken-2
Beyond Sushi,Kosher,4.5 star rating,https://www.yelp.com/biz/beyond-sushi-new-york-5
Suzume,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/suzume-brooklyn
KaoruMC,Piano Bars,4.5 star rating,https://www.yelp.com/biz/kaorumc-new-york-4
Samurai Fusion Sushi,Japanese,4.0 star rating,https://www.yelp.com/biz/samurai-fusion-sushi-brooklyn
Omakase Room by Tatsu,Japanese,4.5 star rating,https://www.yelp.com/biz/omakase-room-by-tatsu-new-york
Saketumi Asian Bistro,Asian Fusion,4.0 star rating,https://www.yelp.com/biz/saketumi-asian-bistro-brooklyn
MoMo Sushi,Sushi Bars,3.5 star rating,https://www.yelp.com/biz/momo-sushi-new-york-2
Juku,Izakaya,4.5 star rating,https://www.yelp.com/biz/juku-new-york
52nd Sushi,Japanese,4.0 star rating,https://www.yelp.com/biz/52nd-sushi-woodside
Zen Ramen & Sushi,Salad,4.0 star rating,https://www.yelp.com/biz/zen-ramen-and-sushi-new-york
Sushi Gama,Japanese,4.0 star rating,https://www.yelp.com/biz/sushi-gama-new-york
Shimizu,Sushi Bars,4.0 star rating,https://www.yelp.com/biz/shimizu-new-york
Takahachi Tribeca Restaurant,Sushi Bars,3.5 star rating,https://www.yelp.com/biz/takahachi-tribeca-restaurant-new-york
Bai Sushi,Japanese,4.0 star rating,https://www.yelp.com/biz/bai-sushi-astoria
Beyond Sushi FiDi,Kosher,5.0 star rating,https://www.yelp.com/biz/beyond-sushi-fidi-new-york
Sushi Tsushima,Sushi Bars,3.5 star rating,https://www.yelp.com/biz/sushi-tsushima-new-york
LUNA Asian Bistro & Lounge,Japanese,4.0 star rating,https://www.yelp.com/biz/luna-asian-bistro-and-lounge-astoria
Sushi Ginza Onodera,Japanese,4.0 star rating,https://www.yelp.com/biz/sushi-ginza-onodera-new-york-2
Sushi D,Japanese,3.5 star rating,https://www.yelp.com/biz/sushi-d-brooklyn
Chikarashi,Poke,4.0 star rating,https://www.yelp.com/biz/chikarashi-new-york
Chisai Pok Bar,Poke,4.0 star rating,https://www.yelp.com/biz/chisai-pok%C3%A9-bar-brooklyn
Beyond Sushi,Kosher,4.5 star rating,https://www.yelp.com/biz/beyond-sushi-new-york-5
